graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
125,barabasi_albert,100,150,5,10,4.1132,3.0,1.794435844492636,"{7: 3, 6: 5, 2: 26, 9: 2, 3: 23, 5: 9, 1: 21, 4: 11}",-0.7042621390296911
126,barabasi_albert,100,150,5,10,4.199,3.0,1.8439088914585775,"{6: 5, 4: 11, 7: 2, 10: 1, 9: 1, 5: 12, 3: 21, 2: 23, 1: 24}",-0.7042621390296911
127,barabasi_albert,100,150,5,10,4.2616,3.0,1.8,"{9: 1, 4: 8, 5: 9, 6: 4, 10: 1, 3: 29, 8: 1, 7: 2, 2: 26, 1: 19}",-0.7042621390296911
128,barabasi_albert,100,150,5,10,4.071,3.0,1.9078784028338913,"{9: 1, 7: 5, 6: 1, 11: 1, 5: 7, 3: 25, 2: 26, 4: 12, 8: 1, 1: 21}",-0.7042621390296911
129,barabasi_albert,100,150,5,10,4.2894,3.0,1.7146428199482247,"{5: 8, 6: 4, 7: 5, 4: 14, 2: 27, 3: 21, 1: 20, 8: 1}",-0.7042621390296911
130,barabasi_albert,100,150,5,10,4.0858,3.0,2.0,"{10: 3, 4: 14, 8: 1, 5: 9, 6: 4, 7: 1, 3: 20, 2: 22, 1: 26}",-0.7042621390296911
131,barabasi_albert,100,150,5,10,4.2528,3.0,1.6852299546352716,"{7: 2, 6: 6, 8: 1, 3: 23, 5: 11, 4: 14, 1: 24, 2: 19}",-0.7042621390296911
132,barabasi_albert,100,150,5,10,4.3658,3.0,1.6613247725836149,"{5: 5, 6: 7, 7: 4, 8: 1, 2: 36, 3: 21, 4: 12, 1: 14}",-0.7042621390296911
133,barabasi_albert,100,150,5,10,4.172,3.0,1.760681686165901,"{4: 16, 8: 2, 5: 6, 9: 1, 6: 3, 11: 1, 2: 29, 3: 26, 1: 16}",-0.7042621390296911
134,barabasi_albert,100,150,5,10,4.0042,3.0,2.0445048300260873,"{8: 3, 6: 5, 7: 3, 5: 6, 4: 10, 10: 1, 3: 21, 9: 1, 2: 23, 1: 27}",-0.7042621390296911
135,barabasi_albert,100,150,5,10,4.1874,3.0,2.0346989949375804,"{6: 4, 12: 2, 5: 7, 7: 2, 3: 27, 4: 10, 2: 26, 9: 1, 1: 21}",-0.7042621390296911
